                    c             cloctime              csunzen             radiance                   tb
          6.000000000          4.428890228        113.565689087          0.165600002         96.891998291
          6.000000000          4.429719925        113.553642273          0.216499999        100.421997070
          6.000000000          4.430560112        113.540946960          0.188800007         98.592002869
          6.000000000          4.431109905        113.529556274          0.243499994        102.053001404
          6.000000000          4.432219982        113.516563416          0.159600005         96.419998169
          6.000000000          4.432779789        113.504852295          0.201299995         99.442001343
          6.000000000          4.433609962        113.492492676          0.207499996         99.850997925
          6.000000000          4.434440136        113.480461121          0.164399996         96.804000854
          6.000000000          4.435279846        113.468101501          0.203999996         99.620002747
          6.000000000          4.428890228        113.565742493          0.165600002         96.891998291
          6.000000000          4.429719925        113.553703308          0.291200012        104.603996277
          6.000000000          4.430560112        113.541007996          0.234400004        101.513000488
          6.000000000          4.431109905        113.529617310          0.198200002         99.235000610
          6.000000000          4.432219982        113.516609192          0.174500003         97.565002441
          6.000000000          4.432779789        113.504898071          0.187000006         98.462997437
          6.000000000          4.433609962        113.492538452          0.178499997         97.858001709
          6.000000000          4.434440136        113.480506897          0.178499997         97.862998962
          6.000000000          4.435279846        113.468147278          0.203999996         99.620002747
          6.000000000          4.428890228        113.565788269          0.196199998         99.101997375
          6.000000000          4.429719925        113.553749084          0.201499999         99.457000732
          6.000000000          4.430560112        113.541053772          0.188800007         98.592002869
          6.000000000          4.431109905        113.529663086          0.258599997        102.900001526
          6.000000000          4.431940079        113.516647339          0.219400004        100.602996826
          6.000000000          4.432779789        113.504936218          0.215599999        100.367996216
          6.000000000          4.433609962        113.492576599          0.280000001        104.041999817
          6.000000000          4.434440136        113.480552673          0.291299999        104.611000061
          6.000000000          4.435279846        113.468193054          0.246999994        102.248001099
          6.000000000          4.428890228        113.565841675          0.242100000        101.970001221
          6.000000000          4.429719925        113.553787231          0.291200012        104.603996277
          6.000000000          4.430560112        113.541107178          0.203999996         99.620002747
          6.000000000          4.431109905        113.529716492          0.213300005        100.222000122
          6.000000000          4.431940079        113.516708374          0.219400004        100.601997375
          6.000000000          4.432779789        113.504989624          0.215599999        100.366996765
          6.000000000          4.433609962        113.492630005          0.280000001        104.041000366
          6.000000000          4.434440136        113.480598450          0.220799997        100.693000793
          6.000000000          4.435279846        113.468238831          0.261299998        103.049003601
          6.000000000          4.428890228        113.565902710          0.242100000        101.970001221
          6.000000000          4.429719925        113.553848267          0.141800001         94.950996399
          6.000000000          4.430560112        113.541152954          0.158399999         96.329002380
          6.000000000          4.431109905        113.529762268          0.182999998         98.186996460
          6.000000000          4.431940079        113.516746521          0.234300002        101.509002686
          6.000000000          4.432779789        113.505043030          0.201299995         99.440002441
          6.000000000          4.433609962        113.492683411          0.367100000        108.097999573
          6.000000000          4.434440136        113.480636597          0.305400014        105.306999207
          6.000000000          4.435279846        113.468276978          0.175300002         97.622001648
          6.000000000          4.428890228        113.565940857          0.257400006        102.831001282
          6.000000000          4.429719925        113.553886414          0.216499999        100.421997070
          6.000000000          4.430560112        113.541198730          0.143199995         95.074996948
          6.000000000          4.431109905        113.529808044          0.213300005        100.221000671
          6.000000000          4.431940079        113.516799927          0.204400003         99.646003723
          6.000000000          4.432779789        113.505081177          0.229900002        101.249000549
          6.000000000          4.433609962        113.492721558          0.454200000        111.486999512
          6.000000000          4.434440136        113.480682373          0.361799985        107.872001648
          6.000000000          4.435279846        113.468322754          0.203999996         99.616996765
          6.000000000          4.428890228        113.565986633          0.180899993         98.035003662
          6.000000000          4.429719925        113.553947449          0.276199996        103.841003418
          6.000000000          4.430560112        113.541252136          0.203999996         99.620002747
          6.000000000          4.431109905        113.529861450          0.182999998         98.185997009
          6.000000000          4.431940079        113.516853333          0.189400002         98.636001587
          6.000000000          4.432779789        113.505126953          0.143999994         95.136001587
          6.000000000          4.433609962        113.492767334          0.352600008        107.471000671
          6.000000000          4.434440136        113.480728149          0.291299999        104.610000610
          6.000000000          4.435279846        113.468368530          0.218300000        100.535003662
          6.000000000          4.428890228        113.566047668          0.165600002         96.892997742
          6.000000000          4.429719925        113.554000854          0.231399998        101.336997986
          6.000000000          4.430560112        113.541313171          0.203999996         99.620002747
          6.000000000          4.431109905        113.529907227          0.182999998         98.185997009
          6.000000000          4.431940079        113.516899109          0.264200002        103.199996948
          6.000000000          4.432779789        113.505180359          0.172600001         97.421997070
          6.000000000          4.433609962        113.492820740          0.250999987        102.470001221
          6.000000000          4.434440136        113.480781555          0.234899998        101.542999268
          6.000000000          4.435279846        113.468406677          0.189600006         98.647003174
          6.000000000          4.428890228        113.566108704          0.242100000        101.971000671
          6.000000000          4.429440022        113.554046631          0.246399999        102.209999084
          6.000000000          4.430560112        113.541358948          0.203999996         99.620002747
          6.000000000          4.431109905        113.529960632          0.228400007        101.156997681
          6.000000000          4.431940079        113.516952515          0.234300002        101.507003784
          6.000000000          4.432779789        113.505233765          0.172600001         97.421997070
          6.000000000          4.433609962        113.492866516          0.236499995        101.636001587
          6.000000000          4.434440136        113.480827332          0.263099998        103.140998840
          6.000000000          4.435279846        113.468460083          0.218300000        100.533996582
          6.000000000          4.428890228        113.566146851          0.211500004        100.110000610
          6.000000000          4.429440022        113.554100037          0.291200012        104.603996277
          6.000000000          4.430560112        113.541397095          0.219200000        100.591003418
          6.000000000          4.431109905        113.530006409          0.288800001        104.486000061
          6.000000000          4.431940079        113.516990662          0.219300002        100.599998474
          6.000000000          4.432779789        113.505271912          0.172600001         97.420997620
          6.000000000          4.433609962        113.492897034          0.294499993        104.772003174
          6.000000000          4.434440136        113.480873108          0.248999998        102.357002258
          6.000000000          4.435279846        113.468498230          0.218300000        100.533996582
          6.000000000          4.428890228        113.566200256          0.165600002         96.893997192
          6.000000000          4.429440022        113.554153442          0.156700000         96.194999695
          6.000000000          4.430280209        113.541450500          0.219200000        100.591003418
          6.000000000          4.431109905        113.530052185          0.122500002         93.180000305
          6.000000000          4.431940079        113.517036438          0.189400002         98.633003235
          6.000000000          4.432779789        113.505317688          0.201199993         99.436996460
          6.000000000          4.433609962        113.492950439          0.221900001        100.763000488
          6.000000000          4.434440136        113.480911255          0.192599997         98.855003357
          6.000000000          4.435279846        113.468536377          0.175200000         97.617996216
          7.000000000          4.434999943        113.474876404          0.462900013         96.503997803
          7.000000000          4.429170132        113.560249329          0.430000007         95.016998291
          7.000000000          4.429999828        113.548301697          0.441100001         95.522003174
          7.000000000          4.430830002        113.535766602          0.429399997         94.989997864
          7.000000000          4.431670189        113.524368286          0.432999998         95.154998779
          7.000000000          4.432499886        113.511901855          0.438400000         95.402000427
          7.000000000          4.433330059        113.499382019          0.444700003         95.686996460
          7.000000000          4.434169769        113.487449646          0.449099988         95.890998840
          7.000000000          4.434999943        113.474922180          0.462900013         96.503997803
          7.000000000          4.429170132        113.560302734          0.473100007         96.956001282
          7.000000000          4.429999828        113.548362732          0.466500014         96.665000916
          7.000000000          4.430830002        113.535827637          0.461800009         96.458000183
          7.000000000          4.431670189        113.524421692          0.458200008         96.295997620
          7.000000000          4.432499886        113.511962891          0.456099987         96.203002930
          7.000000000          4.433330059        113.499443054          0.444700003         95.686996460
          7.000000000          4.434169769        113.487503052          0.419999987         94.546997070
          7.000000000          4.434999943        113.474983215          0.418500006         94.473999023
          7.000000000          4.429170132        113.560363770          0.430000007         95.018997192
          7.000000000          4.429999828        113.548423767          0.453799993         96.101997375
          7.000000000          4.430830002        113.535881042          0.461800009         96.458000183
          7.000000000          4.431670189        113.524482727          0.458200008         96.295997620
          7.000000000          4.432499886        113.512008667          0.432500005         95.133003235
          7.000000000          4.433330059        113.499488831          0.444700003         95.686996460
          7.000000000          4.434169769        113.487548828          0.419999987         94.546997070
          7.000000000          4.434999943        113.475021362          0.446200013         95.758003235
          7.000000000          4.429170132        113.560417175          0.430000007         95.018997192
          7.000000000          4.429999828        113.548469543          0.453799993         96.101997375
          7.000000000          4.430830002        113.535926819          0.448900014         95.879997253
          7.000000000          4.431670189        113.524520874          0.439300001         95.443000793
          7.000000000          4.432499886        113.512046814          0.444299996         95.670997620
          7.000000000          4.433330059        113.499526978          0.438699991         95.415000916
          7.000000000          4.433889866        113.487586975          0.414200008         94.272003174
          7.000000000          4.434720039        113.475067139          0.446200013         95.758003235
          7.000000000          4.429170132        113.560470581          0.444400012         95.675003052
          7.000000000          4.429999828        113.548522949          0.460200012         96.385002136
          7.000000000          4.430830002        113.535987854          0.409999996         94.073997498
          7.000000000          4.431670189        113.524566650          0.439300001         95.443000793
          7.000000000          4.432499886        113.512107849          0.426600009         94.859001160
          7.000000000          4.433330059        113.499588013          0.432700008         95.141998291
          7.000000000          4.433889866        113.487648010          0.425799996         94.820999146
          7.000000000          4.434720039        113.475120544          0.435099989         95.250999451
          7.000000000          4.429170132        113.560516357          0.465900004         96.639999390
          7.000000000          4.429999828        113.548576355          0.479299992         97.224998474
          7.000000000          4.430830002        113.536041260          0.442400008         95.583999634
          7.000000000          4.431670189        113.524627686          0.439300001         95.443000793
          7.000000000          4.432499886        113.512161255          0.426600009         94.859001160
          7.000000000          4.433330059        113.499633789          0.444700003         95.688003540
          7.000000000          4.433889866        113.487693787          0.449099988         95.890998840
          7.000000000          4.434720039        113.475166321          0.451799989         96.011001587
          7.000000000          4.429170132        113.560577393          0.422899991         94.683998108
          7.000000000          4.429999828        113.548629761          0.447499990         95.816001892
          7.000000000          4.430830002        113.536087036          0.429399997         94.990997314
          7.000000000          4.431670189        113.524681091          0.426800013         94.864997864
          7.000000000          4.432499886        113.512207031          0.450199991         95.941001892
          7.000000000          4.433330059        113.499687195          0.432700008         95.141998291
          7.000000000          4.433889866        113.487739563          0.449099988         95.890998840
          7.000000000          4.434720039        113.475212097          0.462900013         96.503997803
          7.000000000          4.429170132        113.560630798          0.451599985         96.004997253
          7.000000000          4.429999828        113.548683167          0.422100008         94.642997742
          7.000000000          4.430830002        113.536140442          0.423000008         94.685997009
          7.000000000          4.431670189        113.524726868          0.414200008         94.272003174
          7.000000000          4.432499886        113.512252808          0.438400000         95.402000427
          7.000000000          4.433330059        113.499732971          0.462599993         96.490997314
          7.000000000          4.433889866        113.487792969          0.455000013         96.152999878
          7.000000000          4.434720039        113.475257874          0.468400002         96.750000000
          7.000000000          4.429170132        113.560676575          0.451599985         96.004997253
          7.000000000          4.429999828        113.548736572          0.472900003         96.949996948
          7.000000000          4.430830002        113.536186218          0.416500002         94.380996704
          7.000000000          4.431670189        113.524780273          0.445600003         95.731002808
          7.000000000          4.432499886        113.512306213          0.462000012         96.466003418
          7.000000000          4.433330059        113.499778748          0.456600010         96.226997375
          7.000000000          4.433889866        113.487838745          0.553900003        100.327003479
          7.000000000          4.434720039        113.475303650          0.496199995         97.953002930
          7.000000000          4.429170132        113.560737610          0.473199993         96.959999084
          7.000000000          4.429999828        113.548782349          0.479299992         97.225997925
          7.000000000          4.430830002        113.536239624          0.435999990         95.289001465
          7.000000000          4.431670189        113.524833679          0.439300001         95.444000244
          7.000000000          4.432499886        113.512351990          0.485599995         97.496002197
          7.000000000          4.433330059        113.499816895          0.468600005         96.755996704
          7.000000000          4.433889866        113.487876892          0.687900007        105.324996948
          7.000000000          4.434720039        113.475349426          0.518400013         98.884002686
          7.000000000          4.429170132        113.560791016          0.487500012         97.580001831
          7.000000000          4.429999828        113.548843384          0.517499983         98.846000671
          7.000000000          4.430830002        113.536293030          0.455399990         96.172996521
          7.000000000          4.431670189        113.524871826          0.439300001         95.444000244
          7.000000000          4.432219982        113.512397766          0.473800004         96.987998962
          7.000000000          4.433330059        113.499870300          0.450700015         95.960998535
          7.000000000          4.433889866        113.487930298          0.769400001        108.095001221
          7.000000000          4.434720039        113.475402832          0.546100020        100.016998291
          7.000000000          4.429170132        113.560836792          0.494700015         97.889999390
          7.000000000          4.429999828        113.548881531          0.504800022         98.314002991
          7.000000000          4.430830002        113.536346436          0.455399990         96.172996521
          7.000000000          4.431389809        113.524932861          0.445600003         95.732002258
          7.000000000          4.432219982        113.512451172          0.497399986         98.003997803
          7.000000000          4.433060169        113.499923706          0.474500000         97.021003723
          7.000000000          4.433889866        113.487983704          0.699500024        105.732002258
          7.000000000          4.434720039        113.475440979          0.496199995         97.953002930
          7.000000000          4.429170132        113.560890198          0.487500012         97.581001282
          7.000000000          4.429999828        113.548927307          0.523800015         99.110000610
          7.000000000          4.430830002        113.536392212          0.507300019         98.419998169
          7.000000000          4.431389809        113.524971008          0.458200008         96.296997070
          7.000000000          4.432219982        113.512496948          0.467900008         96.726997375
          7.000000000          4.433060169        113.499961853          0.462599993         96.491996765
          7.000000000          4.433889866        113.488006592          0.559800029        100.558998108
          7.000000000          4.434720039        113.475486755          0.512799978         98.651000977
          7.000000000          4.429170132        113.560943604          0.473199993         96.962997437
          7.000000000          4.429999828        113.548980713          0.492100000         97.776000977
          7.000000000          4.430830002        113.536437988          0.461899996         96.461997986
          7.000000000          4.431389809        113.525016785          0.451900005         96.018997192
          7.000000000          4.432219982        113.512542725          0.467900008         96.726997375
